8.8018 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcc299f4f70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fcbb0ab5850>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6353 	EXP 	Created Bkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='Bkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
13.6386 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.8, 1.8]), texRes=128.0, units='norm', win=Window(...))
13.6503 	EXP 	window1: mouseVisible = True
13.7780 	EXP 	Created Scale = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-3, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=list(...), lineColor=None, markerColor=None, name='Scale', opacity=None, ori=0.0, pos=array([ 0. , -0.6]), readOnly=False, self=UNKNOWN, size=array([1.2 , 0.05]), startValue=None, style='rating', styleTweaks=[], ticks=array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 10]), units='norm', win=Window(...))
13.7790 	EXP 	Created InstrBkg2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='InstrBkg2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
13.8149 	EXP 	Created TagFig2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Instructions_CN/Slide2.PNG', interpolate=True, mask=None, maskParams=None, name='TagFig2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.8, 1.8]), texRes=128.0, units='norm', win=Window(...))
13.8159 	EXP 	Created CSBkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='CSBkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
13.8196 	EXP 	Created CS_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='CS_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='norm', win=Window(...))
13.8205 	EXP 	Created UCSBkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='UCSBkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
13.8237 	EXP 	Created UCS_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='UCS_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='norm', win=Window(...))
14.0219 	EXP 	Sound sound_1 set volume 0.300
14.0232 	EXP 	Created BlankBkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1, name='BlankBkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.0241 	EXP 	Created Bkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='Bkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.0280 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.8, 1.8]), texRes=128.0, units='norm', win=Window(...))
14.0298 	EXP 	window1: mouseVisible = True
14.1137 	EXP 	Created Scale = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-3, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=list(...), lineColor=None, markerColor=None, name='Scale', opacity=None, ori=0.0, pos=array([ 0. , -0.6]), readOnly=False, self=UNKNOWN, size=array([1.2 , 0.05]), startValue=None, style='rating', styleTweaks=[], ticks=array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 10]), units='norm', win=Window(...))
14.1149 	EXP 	Created InstrBkg3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='InstrBkg3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.1557 	EXP 	Created TagFig3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Instructions_CN/Slide3.PNG', interpolate=True, mask=None, maskParams=None, name='TagFig3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.8, 1.8]), texRes=128.0, units='norm', win=Window(...))
14.1568 	EXP 	Created ExtBkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='ExtBkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.1607 	EXP 	Created Ext_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Ext_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='norm', win=Window(...))
14.1617 	EXP 	Created BlankBkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1, name='BlankBkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.1626 	EXP 	Created Bkg = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='Bkg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), units='norm', vertices=ndarray(...), win=Window(...))
14.1664 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.8, 1.8]), texRes=128.0, units='norm', win=Window(...))
14.1682 	EXP 	window1: mouseVisible = True
14.2511 	EXP 	Created Scale = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-3, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=list(...), lineColor=None, markerColor=None, name='Scale', opacity=None, ori=0.0, pos=array([ 0. , -0.6]), readOnly=False, self=UNKNOWN, size=array([1.2 , 0.05]), startValue=None, style='rating', styleTweaks=[], ticks=array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 10]), units='norm', win=Window(...))
14.3030 	EXP 	Created EndTxt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Microsoft YaHei', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='EndTxt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='谢谢您！\nThank you!', units='norm', win=Window(...), wrapWidth=1)
14.3594 	WARNING 	t of last frame was 3728.27ms (=1/0)
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	Scale: markerPos = None
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: contrast = 1.0
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	Scale: markerPos = None
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: contrast = 1.0
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	Scale: markerPos = None
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: styleTweaks = []
14.3594 	EXP 	Scale: contrast = 1.0
14.3594 	EXP 	Scale: autoLog = True
14.3594 	EXP 	InstrBkg: autoDraw = True
14.3594 	EXP 	TagFig: autoDraw = True
14.9731 	WARNING 	t of last frame was 24.03ms (=1/41)
17.0923 	DATA 	Keypress: n
17.1018 	WARNING 	t of last frame was 52.42ms (=1/19)
17.5016 	EXP 	Imported PreCondition1.xlsx as conditions, 15 conditions, 2 params
17.5034 	EXP 	Created sequence: random, trialTypes=15, nReps=1, seed=None
17.5037 	EXP 	New trial (rep=0, index=0): {'PreCondName': 'Stimuli/CS+4.BMP', 'TrgCol': 0.4}
17.5245 	DATA 	Keypress: space
17.5328 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
17.5328 	EXP 	InstrBkg: autoDraw = False
17.5328 	EXP 	TagFig: autoDraw = False
17.5328 	EXP 	imagePreCond: image = 'Stimuli/CS+4.BMP'
17.5328 	EXP 	precondBkg: autoDraw = True
17.5328 	EXP 	imagePreCond: autoDraw = True
23.5005 	EXP 	imagePreCond: autoDraw = False
23.5152 	EXP 	precondBkg: autoDraw = False
23.5152 	EXP 	imagePreCond: autoDraw = False
23.5152 	EXP 	BlankBkg: autoDraw = True
27.8497 	EXP 	New trial (rep=0, index=1): {'PreCondName': 'Stimuli/CS+3.BMP', 'TrgCol': -0.1}
27.8746 	EXP 	BlankBkg: autoDraw = False
27.8746 	EXP 	BlankBkg: autoDraw = False
27.8746 	EXP 	imagePreCond: image = 'Stimuli/CS+3.BMP'
27.8746 	EXP 	precondBkg: autoDraw = True
27.8746 	EXP 	imagePreCond: autoDraw = True
33.8492 	EXP 	imagePreCond: autoDraw = False
33.8850 	EXP 	precondBkg: autoDraw = False
33.8850 	EXP 	imagePreCond: autoDraw = False
33.8850 	EXP 	BlankBkg: autoDraw = True
38.1015 	EXP 	New trial (rep=0, index=2): {'PreCondName': 'Stimuli/CS+3.BMP', 'TrgCol': -0.1}
38.1215 	EXP 	BlankBkg: autoDraw = False
38.1215 	EXP 	BlankBkg: autoDraw = False
38.1215 	EXP 	imagePreCond: image = 'Stimuli/CS+3.BMP'
38.1215 	EXP 	precondBkg: autoDraw = True
38.1215 	EXP 	imagePreCond: autoDraw = True
44.1015 	EXP 	imagePreCond: autoDraw = False
44.1156 	EXP 	precondBkg: autoDraw = False
44.1156 	EXP 	imagePreCond: autoDraw = False
44.1156 	EXP 	BlankBkg: autoDraw = True
48.3523 	EXP 	New trial (rep=0, index=3): {'PreCondName': 'Stimuli/CS+3.BMP', 'TrgCol': -0.1}
48.3721 	EXP 	BlankBkg: autoDraw = False
48.3721 	EXP 	BlankBkg: autoDraw = False
48.3721 	EXP 	imagePreCond: image = 'Stimuli/CS+3.BMP'
48.3721 	EXP 	precondBkg: autoDraw = True
48.3721 	EXP 	imagePreCond: autoDraw = True
54.3690 	EXP 	imagePreCond: autoDraw = False
54.3841 	EXP 	precondBkg: autoDraw = False
54.3841 	EXP 	imagePreCond: autoDraw = False
54.3841 	EXP 	BlankBkg: autoDraw = True
58.6190 	EXP 	New trial (rep=0, index=4): {'PreCondName': 'Stimuli/CS+3.BMP', 'TrgCol': -0.1}
58.6565 	EXP 	BlankBkg: autoDraw = False
58.6565 	EXP 	BlankBkg: autoDraw = False
58.6565 	EXP 	imagePreCond: image = 'Stimuli/CS+3.BMP'
58.6565 	EXP 	precondBkg: autoDraw = True
58.6565 	EXP 	imagePreCond: autoDraw = True
64.6340 	EXP 	precondBkg: autoDraw = False
64.6340 	EXP 	imagePreCond: autoDraw = False
64.6340 	EXP 	BlankBkg: autoDraw = True
69.1523 	EXP 	New trial (rep=0, index=5): {'PreCondName': 'Stimuli/CS+4.BMP', 'TrgCol': 0.4}
69.1844 	EXP 	BlankBkg: autoDraw = False
69.1844 	EXP 	BlankBkg: autoDraw = False
69.1844 	EXP 	imagePreCond: image = 'Stimuli/CS+4.BMP'
69.1844 	EXP 	precondBkg: autoDraw = True
69.1844 	EXP 	imagePreCond: autoDraw = True
75.1687 	EXP 	imagePreCond: autoDraw = False
75.1834 	EXP 	precondBkg: autoDraw = False
75.1834 	EXP 	imagePreCond: autoDraw = False
75.1834 	EXP 	BlankBkg: autoDraw = True
79.5335 	EXP 	New trial (rep=0, index=6): {'PreCondName': 'Stimuli/CS+1.BMP', 'TrgCol': 0.4}
79.5662 	EXP 	BlankBkg: autoDraw = False
79.5662 	EXP 	BlankBkg: autoDraw = False
79.5662 	EXP 	imagePreCond: image = 'Stimuli/CS+1.BMP'
79.5662 	EXP 	precondBkg: autoDraw = True
79.5662 	EXP 	imagePreCond: autoDraw = True
85.5361 	EXP 	imagePreCond: autoDraw = False
85.5504 	EXP 	precondBkg: autoDraw = False
85.5504 	EXP 	imagePreCond: autoDraw = False
85.5504 	EXP 	BlankBkg: autoDraw = True
89.6850 	EXP 	New trial (rep=0, index=7): {'PreCondName': 'Stimuli/CS+4.BMP', 'TrgCol': 0.4}
89.7051 	EXP 	BlankBkg: autoDraw = False
89.7051 	EXP 	BlankBkg: autoDraw = False
89.7051 	EXP 	imagePreCond: image = 'Stimuli/CS+4.BMP'
89.7051 	EXP 	precondBkg: autoDraw = True
89.7051 	EXP 	imagePreCond: autoDraw = True
95.6836 	EXP 	imagePreCond: autoDraw = False
95.7191 	EXP 	precondBkg: autoDraw = False
95.7191 	EXP 	imagePreCond: autoDraw = False
95.7191 	EXP 	BlankBkg: autoDraw = True
99.7368 	EXP 	New trial (rep=0, index=8): {'PreCondName': 'Stimuli/CS+1.BMP', 'TrgCol': 0.4}
99.7664 	EXP 	BlankBkg: autoDraw = False
99.7664 	EXP 	BlankBkg: autoDraw = False
99.7664 	EXP 	imagePreCond: image = 'Stimuli/CS+1.BMP'
99.7664 	EXP 	precondBkg: autoDraw = True
99.7664 	EXP 	imagePreCond: autoDraw = True
105.7363 	EXP 	imagePreCond: autoDraw = False
105.7677 	EXP 	precondBkg: autoDraw = False
105.7677 	EXP 	imagePreCond: autoDraw = False
105.7677 	EXP 	BlankBkg: autoDraw = True
110.1522 	EXP 	New trial (rep=0, index=9): {'PreCondName': 'Stimuli/CS+4.BMP', 'TrgCol': 0.4}
110.1695 	EXP 	BlankBkg: autoDraw = False
110.1695 	EXP 	BlankBkg: autoDraw = False
110.1695 	EXP 	imagePreCond: image = 'Stimuli/CS+4.BMP'
110.1695 	EXP 	precondBkg: autoDraw = True
110.1695 	EXP 	imagePreCond: autoDraw = True
116.1521 	EXP 	imagePreCond: autoDraw = False
116.1676 	EXP 	precondBkg: autoDraw = False
116.1676 	EXP 	imagePreCond: autoDraw = False
116.1676 	EXP 	BlankBkg: autoDraw = True
120.2198 	EXP 	New trial (rep=0, index=10): {'PreCondName': 'Stimuli/CS+4.BMP', 'TrgCol': 0.4}
120.2609 	EXP 	BlankBkg: autoDraw = False
120.2609 	EXP 	BlankBkg: autoDraw = False
120.2609 	EXP 	imagePreCond: image = 'Stimuli/CS+4.BMP'
120.2609 	EXP 	precondBkg: autoDraw = True
120.2609 	EXP 	imagePreCond: autoDraw = True
126.2372 	EXP 	precondBkg: autoDraw = False
126.2372 	EXP 	imagePreCond: autoDraw = False
126.2372 	EXP 	BlankBkg: autoDraw = True
130.6880 	EXP 	New trial (rep=0, index=11): {'PreCondName': 'Stimuli/CS+3.BMP', 'TrgCol': -0.1}
130.7086 	EXP 	BlankBkg: autoDraw = False
130.7086 	EXP 	BlankBkg: autoDraw = False
130.7086 	EXP 	imagePreCond: image = 'Stimuli/CS+3.BMP'
130.7086 	EXP 	precondBkg: autoDraw = True
130.7086 	EXP 	imagePreCond: autoDraw = True
136.7028 	EXP 	imagePreCond: autoDraw = False
136.7193 	EXP 	precondBkg: autoDraw = False
136.7193 	EXP 	imagePreCond: autoDraw = False
136.7193 	EXP 	BlankBkg: autoDraw = True
141.1692 	EXP 	New trial (rep=0, index=12): {'PreCondName': 'Stimuli/CS+1.BMP', 'TrgCol': 0.4}
141.1975 	EXP 	BlankBkg: autoDraw = False
141.1975 	EXP 	BlankBkg: autoDraw = False
141.1975 	EXP 	imagePreCond: image = 'Stimuli/CS+1.BMP'
141.1975 	EXP 	precondBkg: autoDraw = True
141.1975 	EXP 	imagePreCond: autoDraw = True
147.1690 	EXP 	imagePreCond: autoDraw = False
147.2039 	EXP 	precondBkg: autoDraw = False
147.2039 	EXP 	imagePreCond: autoDraw = False
147.2039 	EXP 	BlankBkg: autoDraw = True
151.2206 	EXP 	New trial (rep=0, index=13): {'PreCondName': 'Stimuli/CS+1.BMP', 'TrgCol': 0.4}
151.2415 	EXP 	BlankBkg: autoDraw = False
151.2415 	EXP 	BlankBkg: autoDraw = False
151.2415 	EXP 	imagePreCond: image = 'Stimuli/CS+1.BMP'
151.2415 	EXP 	precondBkg: autoDraw = True
151.2415 	EXP 	imagePreCond: autoDraw = True
157.2190 	EXP 	imagePreCond: autoDraw = False
157.2545 	EXP 	precondBkg: autoDraw = False
157.2545 	EXP 	imagePreCond: autoDraw = False
157.2545 	EXP 	BlankBkg: autoDraw = True
161.3698 	EXP 	New trial (rep=0, index=14): {'PreCondName': 'Stimuli/CS+1.BMP', 'TrgCol': 0.4}
161.3875 	EXP 	BlankBkg: autoDraw = False
161.3875 	EXP 	BlankBkg: autoDraw = False
161.3875 	EXP 	imagePreCond: image = 'Stimuli/CS+1.BMP'
161.3875 	EXP 	precondBkg: autoDraw = True
161.3875 	EXP 	imagePreCond: autoDraw = True
167.3693 	EXP 	imagePreCond: autoDraw = False
167.4049 	EXP 	precondBkg: autoDraw = False
167.4049 	EXP 	imagePreCond: autoDraw = False
167.4049 	EXP 	BlankBkg: autoDraw = True
171.6177 	EXP 	Imported Rating1.xlsx as conditions, 3 conditions, 3 params
171.6183 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
171.6186 	EXP 	New trial (rep=0, index=0): {'ratingName_EN': 'Instructions_EN/ratingCS+1.png', 'ratingName_CN': 'Instructions_CN/ratingCS+1.png', 'TrgCol': -0.1}
171.6716 	EXP 	BlankBkg: autoDraw = False
171.6716 	EXP 	BlankBkg: autoDraw = False
171.6716 	EXP 	image: image = 'Instructions_CN/ratingCS+1.png'
